Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0486_PP290_SM1_BF1_SLR4,SUCCESS,12.573611111111111,208,,27752.,0.2610,0.76,Feb 07 17:47,Feb 08 06:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP320_SM1_BF1_SLR4,SUCCESS,12.376944444444446,208,,27870.,0.2627,1.00,Feb 07 17:46,Feb 08 06:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP324_SM2_BF1_SLR4,SUCCESS,13.043611111111112,224,,27859.,0.2628,0.45,Feb 07 17:47,Feb 08 06:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP334_SM2_BF1_SLR4,SUCCESS,21.34361111111111,352,,27855.,0.2618,0.87,Feb 11 20:30,Feb 12 17:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP345_SM1_BF1_SLR4,SUCCESS,12.595277777777778,208,,27776.,0.2596,0.82,Feb 11 21:44,Feb 12 10:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP383_SM1_BF1_SLR4,SUCCESS,12.306666666666667,208,,27777.,0.2623,0.78,Feb 07 17:48,Feb 08 06:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP410_SM2_BF1_SLR4,SUCCESS,13.480833333333333,224,,27807.,0.2628,0.63,Feb 11 19:35,Feb 12 09:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP456_SM1_BF1_SLR4,SUCCESS,12.497499999999999,208,,27632.,0.2595,0.90,Feb 13 05:24,Feb 13 17:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP487_SM2_BF1_SLR4,SUCCESS,13.204444444444444,224,,27742.,0.2611,0.65,Feb 13 05:25,Feb 13 18:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP498_SM3_BF1_SLR4,SUCCESS,13.299166666666666,224,,27807.,0.2608,0.76,Feb 07 17:48,Feb 08 07:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0706_PP044_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:14,N/A,,,,,,,,,,
SS0706_PP297_SM2_BF1_SLR4,SUCCESS,16.83972222222222,272,,36964.,0.2963,0.51,Feb 07 18:19,Feb 08 11:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0706_PP343_SM1_BF1_SLR4,SUCCESS,17.49888888888889,288,,36817.,0.2959,0.55,Feb 11 20:24,Feb 12 13:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0706_PP358_SM1_BF1_SLR4,SUCCESS,15.785833333333333,256,,36739.,0.2950,0.58,Feb 07 18:22,Feb 08 10:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0708_PP348_SM3_BF1_SLR4,SUCCESS,16.761944444444445,272,,49172.,0.2974,3.73,Feb 13 05:37,Feb 13 22:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0708_PP446_SM5_BF1_SLR4,SUCCESS,18.725555555555555,304,,42927.,0.2806,6.58,Feb 11 21:56,Feb 12 16:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0708_PP472_SM2_BF1_SLR4,SUCCESS,16.14611111111111,272,,48680.,0.3550,3.40,Feb 07 18:03,Feb 08 10:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0709_PP409_SM5_BF1_SLR4,SUCCESS,18.440833333333334,304,,40880.,0.2937,1.37,Feb 13 06:17,Feb 14 00:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0710_PP047_SM1_BF1_SLR4,SUCCESS,19.211666666666666,320,,45477.,0.2948,2.99,Feb 13 06:08,Feb 14 01:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
