Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
S1621,SUCCESS,11.016111111111112,48,,24689.,0.3563,4.26,Jul 23 17:28,Jul 24 04:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1622,SUCCESS,10.274722222222223,44,,26976.,0.3183,1.89,Mar 15 18:25,Mar 16 04:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1623,SUCCESS,8.828055555555554,36,,21913.,0.3088,2.68,Jul 23 17:31,Jul 24 02:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1624,SUCCESS,7.920555555555556,32,,20346.,0.2898,2.59,Jul 23 17:29,Jul 24 01:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1625,SUCCESS,5.945,24,,13144.,0.2395,2.26,Jul 23 17:26,Jul 23 23:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1626,SUCCESS,7.591666666666667,32,,17048.,0.2498,0.21,Jul 23 17:28,Jul 24 01:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1627,SUCCESS,6.166388888888889,28,,13932.,0.2400,0.35,Jul 23 17:26,Jul 23 23:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1628,SUCCESS,6.730833333333334,28,,16853.,0.3048,0.05,Jul 23 17:29,Jul 24 00:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1629,SUCCESS,12.395833333333332,52,,22009.,0.2939,2.88,Jul 23 17:30,Jul 24 05:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1630,SUCCESS,7.168611111111112,32,,21079.,0.3039,2.80,Jul 23 17:27,Jul 24 00:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1631,SUCCESS,9.054722222222223,40,,25205.,0.3134,0.62,Mar 17 18:46,Mar 18 03:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1632,SUCCESS,7.129444444444444,32,,18342.,0.2703,0.62,Jul 23 17:32,Jul 24 00:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1633,SUCCESS,6.594444444444444,28,,16524.,0.2566,2.63,Jul 23 17:31,Jul 24 00:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1634,SUCCESS,7.777222222222222,32,,20502.,0.2790,0.17,Jul 23 17:34,Jul 24 01:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1635,SUCCESS,6.426388888888889,28,,16379.,0.2701,0.97,Jul 23 17:31,Jul 23 23:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1636,SUCCESS,3.8377777777777777,16,,9127.,0.1970,0.42,Jul 23 17:29,Jul 23 21:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1637,SUCCESS,10.61361111111111,44,,17482.,0.2819,1.46,Jul 23 17:32,Jul 24 04:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1638,SUCCESS,11.394444444444444,48,,23552.,0.3091,0.18,Mar 17 18:36,Mar 18 05:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1639,SUCCESS,6.790555555555556,28,,18014.,0.2717,0.93,Jul 23 17:31,Jul 24 00:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1640,SUCCESS,6.507777777777778,28,,16649.,0.2507,0.13,Jul 23 17:31,Jul 24 00:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1641,SUCCESS,12.408888888888889,52,,21144.,0.3261,0.11,Mar 17 18:43,Mar 18 07:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1642,SUCCESS,4.900555555555556,20,,13379.,0.2481,0.19,Jul 23 17:30,Jul 23 22:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1643,SUCCESS,6.323888888888889,28,,17762.,0.2877,0.15,Jul 23 17:33,Jul 23 23:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1644,SUCCESS,3.403888888888889,16,,8196.,0.1791,0.15,Jul 24 01:45,Jul 24 05:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
