Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0997_PP475_SM3_BF1_Base,SUCCESS,20.0,80.0,,40305.0,0.348,0.67,Jan 11 19:33,Jan 12 14:58,,,,,,,,,,
SS0997_PP478_SM2_BF1_Base,SUCCESS,18.0,72.0,,42603.0,0.3666,0.81,Jan 10 17:48,Jan 11 11:22,,,,,,,,,,
SS0997_PP474_SM3_BF1_Base,SUCCESS,20.0,80.0,,43558.0,0.3764,1.36,Jan  9 13:15,Jan 10 08:36,,,,,,,,,,
SS0997_PP481_SM3_BF1_Base,SUCCESS,21.0,84.0,,39853.0,0.3386,2.7,Dec 30 16:09,Dec 31 12:54,,,,,,,,,,
SS0997_PP480_SM4_BF1_Base,SUCCESS,21.0,84.0,,42625.0,0.365,1.36,Jan  5 13:52,Jan  6 10:25,,,,,,,,,,
SS0997_PP483_SM5_BF1_Base,SUCCESS,19.0,76.0,,43583.0,0.3764,0.31,Jan  6 17:31,Jan  7 11:52,,,,,,,,,,
SS0997_PP484_SM3_BF1_Base,SUCCESS,20.0,80.0,,42770.0,0.3532,2.89,Jan 10 17:36,Jan 11 13:28,,,,,,,,,,
SS0997_PP495_SM3_BF1_Base,SUCCESS,20.0,80.0,,44227.0,0.3806,1.09,Jan  9 13:16,Jan 10 08:36,,,,,,,,,,
SS0997_PP482_SM3_BF1_Base,SUCCESS,20.0,80.0,,43362.0,0.3725,2.37,Dec 30 16:10,Dec 31 12:02,,,,,,,,,,
SS0997_PP490_SM4_BF1_Base,SUCCESS,22.0,88.0,,39617.0,0.329,1.45,Jan  7 12:57,Jan  8 09:58,,,,,,,,,,
SS0997_PP488_SM3_BF1_Base,SUCCESS,19.0,76.0,,47102.0,0.4075,2.37,Jan  1 05:40,Jan  1 23:47,,,,,,,,,,
SS0997_PP483_SM2_BF1_Base,SUCCESS,19.0,76.0,,44486.0,0.3851,0.49,Jan  6 17:32,Jan  7 11:51,,,,,,,,,,
SS0997_PP493_SM3_BF1_Base,SUCCESS,19.0,76.0,,40707.0,0.3538,0.37,Jan  5 13:54,Jan  6 08:21,,,,,,,,,,
SS0999_PP013_SM3_BF1_Base,SUCCESS,20.0,80.0,,64929.0,0.5747,1.59,Jan  1 02:03,Jan  1 21:10,,,,,,,,,,
SS0997_PP487_SM3_BF1_Base,SUCCESS,19.0,76.0,,43455.0,0.3756,0.84,Jan  6 17:29,Jan  7 12:09,,,,,,,,,,
SS0997_PP494_SM4_BF1_Base,SUCCESS,20.0,80.0,,39707.0,0.3337,1.26,Jan  6 17:30,Jan  7 12:48,,,,,,,,,,
SS0999_PP144_SM1_BF1_Base,SUCCESS,21.0,84.0,,46907.0,0.3704,2.23,Jan  9 13:14,Jan 10 09:21,,,,,,,,,,
SS0997_PP498_SM2_BF1_Base,SUCCESS,20.0,80.0,,44893.0,0.3849,0.7,Jan 11 19:33,Jan 12 15:02,,,,,,,,,,
SS0997_PP492_SM3_BF1_Base,SUCCESS,20.0,80.0,,43530.0,0.3747,1.14,Jan  8 14:26,Jan  9 09:44,,,,,,,,,,
SS0997_PP491_SM4_BF1_Base,SUCCESS,19.0,76.0,,42900.0,0.3686,1.16,Dec 31 23:39,Jan  1 17:57,,,,,,,,,,
SS0997_PP489_SM3_BF1_Base,SUCCESS,21.0,84.0,,42595.0,0.3564,2.91,Jan 13 23:09,Jan 14 20:09,,,,,,,,,,
SS0999_PP205_SM5_BF1_Base,SUCCESS,19.0,76.0,,63145.0,0.4439,2.98,Dec 30 16:09,Dec 31 10:54,,,,,,,,,,
SS0997_PP486_SM3_BF1_Base,SUCCESS,20.0,80.0,,42067.0,0.3584,1.16,Jan  6 17:29,Jan  7 13:22,,,,,,,,,,
SS0997_PP485_SM3_BF1_Base,SUCCESS,20.0,80.0,,39985.0,0.3485,1.47,Jan  1 00:09,Jan  1 19:32,,,,,,,,,,
SS1001_PP230_SM5_BF1_Base,SUCCESS,14.0,56.0,,37762.0,0.4425,6.17,Jan  9 12:27,Jan 10 01:45,,,,,,,,,,
SS0997_PP500_SM3_BF1_Base,SUCCESS,20.0,80.0,,44174.0,0.3811,0.43,Jan  1 04:08,Jan  1 23:53,,,,,,,,,,
SS0997_PP496_SM3_BF1_Base,SUCCESS,21.0,84.0,,45030.0,0.3785,1.24,Jan 11 19:32,Jan 12 15:46,,,,,,,,,,
SS1004_PP013_SM1_BF1_Base,SUCCESS,14.0,56.0,,33021.0,0.3703,0.31,Jan  8 13:52,Jan  9 03:36,,,,,,,,,,
SS0999_PP358_SM2_BF1_Base,SUCCESS,20.0,80.0,,66065.0,0.5519,2.68,Jan  6 17:28,Jan  7 12:45,,,,,,,,,,
SS0999_PP358_SM5_BF1_Base,SUCCESS,21.0,84.0,,66580.0,0.5087,3.07,Jan  6 17:29,Jan  7 13:48,,,,,,,,,,
SS0997_PP499_SM3_BF1_Base,SUCCESS,20.0,80.0,,40141.0,0.3505,0.58,Dec 30 16:36,Dec 31 12:25,,,,,,,,,,
SS1001_PP472_SM3_BF1_Base,SUCCESS,13.0,52.0,,40038.0,0.481,2.33,Dec 30 16:00,Dec 31 04:44,,,,,,,,,,
SS1004_PP012_SM4_BF1_Base,SUCCESS,15.0,60.0,,33236.0,0.3711,1.19,Jan  8 13:51,Jan  9 04:19,,,,,,,,,,
SS1001_PP035_SM3_BF1_Base,SUCCESS,13.0,52.0,,43081.0,0.5334,0.84,Jan 10 16:46,Jan 11 05:23,,,,,,,,,,
SS1004_PP041_SM5_BF1_Base,SUCCESS,14.0,56.0,,32849.0,0.3665,0.83,Jan  1 07:34,Jan  1 21:12,,,,,,,,,,
SS1001_PP483_SM3_BF1_Base,SUCCESS,13.0,52.0,,42961.0,0.5194,2.33,Dec 31 09:38,Dec 31 22:03,,,,,,,,,,
SS1004_PP099_SM2_BF1_Base,SUCCESS,15.0,60.0,,34444.0,0.3844,0.88,Jan 11 18:57,Jan 12 09:35,,,,,,,,,,
SS1004_PP035_SM4_BF1_Base,SUCCESS,18.0,72.0,,32523.0,0.3586,1.05,Jan 13 22:26,Jan 14 15:32,,,,,,,,,,
SS1004_PP039_SM4_BF1_Base,SUCCESS,15.0,60.0,,32823.0,0.3655,1.13,Jan  7 12:16,Jan  8 02:58,,,,,,,,,,
SS1004_PP043_SM4_BF1_Base,SUCCESS,14.0,56.0,,32311.0,0.3604,0.63,Jan 11 18:58,Jan 12 08:17,,,,,,,,,,
SS1004_PP026_SM1_BF1_Base,SUCCESS,15.0,60.0,,32416.0,0.3597,1.64,Jan  8 13:50,Jan  9 04:25,,,,,,,,,,
SS1004_PP102_SM2_BF1_Base,SUCCESS,16.0,64.0,,36755.0,0.4108,2.66,Jan  9 12:40,Jan 10 04:04,,,,,,,,,,
SS1004_PP081_SM3_BF1_Base,SUCCESS,15.0,60.0,,32340.0,0.3629,1.03,Dec 31 08:59,Dec 31 23:02,,,,,,,,,,
