Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S1281,Success,8h 38m 12s,27,,21199.0,0.2809,2.19,Jul 23 17:10,Jul 24 01:48,,327.66,14.13,11.53,596688128.0,225576.7,89.32,0.58,11.55
S1330,Success,5h 7m 48s,18,,9182.0,0.1682,0.43,Jul 23 17:06,Jul 23 22:14,,327.66,10.59,7.99,584758976.0,218885.97,138.57,0.88,8.24
S1325,Success,6h 43m 6s,21,,12428.0,0.2227,0.14,Jul 23 17:06,Jul 23 23:49,,327.66,6.88,7.72,567662912.0,227239.14,54.98,0.32,8.24
S1321,Success,8h 58m 52s,27,,33501.0,0.44,4.23,Jul 23 17:13,Jul 24 02:12,,327.66,14.13,11.5,603392832.0,203588.55,151.31,0.58,11.55
S1327,Success,6h 6m 35s,21,,12880.0,0.249,0.22,Jul 23 17:06,Jul 23 23:13,,327.66,8.63,6.11,562367488.0,191158.77,158.76,0.39,8.24
S1328,Success,8h 6m 4s,27,,16882.0,0.2628,0.19,Jul 23 17:10,Jul 24 01:16,,327.66,7.32,6.04,572874112.0,181757.56,184.68,0.52,8.24
S1324,Success,7h 45m 5s,24,,20134.0,0.2658,0.16,Jul 23 17:12,Jul 24 00:57,,327.66,8.68,7.4,588386368.0,155449.05,73.27,0.51,8.24
S1335,Success,7h 14m 9s,24,,17376.0,0.2341,0.72,Jul 23 17:10,Jul 24 00:24,,327.66,10.36,9.15,592387136.0,291758.38,124.07,0.63,8.24
S1329,Success,10h 30m 16s,33,,17584.0,0.2135,1.92,Jul 23 17:11,Jul 24 03:41,,327.66,19.71,10.35,647254400.0,261244.08,114.1,1.31,10.42
S1326,Success,8h 28m 44s,27,,17333.0,0.2509,0.46,Jul 23 17:10,Jul 24 01:39,,327.66,9.81,8.37,593679872.0,300503.41,193.49,0.64,8.24
S1332,Success,5h 17m 41s,18,,13692.0,0.2355,0.18,Jul 23 17:06,Jul 23 22:24,,327.66,8.75,6.62,580081536.0,158603.42,54.81,0.6,8.24
