Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS1631_PP165_SM1_BF1_Base,Success,20h 16m 21s,63,,81995.0,0.6593,3.13,Dec 30 16:09,Dec 31 12:25,,327.66,81.3,53.3,594262080.0,187761.77,,,,33.68
clean_SS1636_PP209_SM3_BF1_Base,Success,12h 28m 21s,39,,27510.0,0.3545,0.84,Dec 30 15:22,Dec 31 03:50,,327.66,51.16,40.9,561395456.0,203943.94,,,,1.12
clean_SS1636_PP279_SM2_BF1_Base,Success,12h 4m 13s,39,,28125.0,0.3617,0.85,Dec 30 15:51,Dec 31 03:55,,327.66,12.37,47.77,562103552.0,203797.92,,,,1.68
clean_SS1636_PP298_SM2_BF1_Base,Success,11h 57m 54s,36,,28718.0,0.3662,0.85,Dec 30 15:22,Dec 31 03:20,,327.66,19.06,64.7,561899648.0,203987.86,,,,1.76
clean_SS1636_PP311_SM4_BF1_Base,Success,12h 45m 59s,39,,28417.0,0.368,0.84,Dec 31 03:53,Dec 31 16:39,,327.66,43.9,40.78,562077312.0,203746.7,,,,0.76
clean_SS1636_PP359_SM4_BF1_Base,Success,12h 21m 43s,39,,27447.0,0.3539,0.85,Dec 30 15:22,Dec 31 03:44,,327.66,12.95,64.73,562418176.0,203697.73,,,,0.79
clean_SS1643_PP121_SM1_BF1_Base,Success,17h 4m 27s,54,,37022.0,0.4128,1.54,Dec 30 15:52,Dec 31 08:56,,327.66,79.27,109.94,559129152.0,171926.91,,,,1.22
clean_SS1644_PP218_SM1_BF1_Base,Success,11h 21m 48s,36,,26956.0,0.3722,2.2,Dec 30 15:36,Dec 31 02:58,,327.66,9.42,43.74,554834816.0,184613.42,,,,0.16
clean_SS1643_PP274_SM1_BF1_Base,Success,16h 15m 12s,51,,36999.0,0.4034,0.93,Dec 30 16:03,Dec 31 08:18,,327.66,79.66,41.06,559129152.0,173496.62,,,,1.7
clean_SS1643_PP496_SM1_BF1_Base,Success,15h 4m 36s,48,,36790.0,0.4068,0.1,Dec 30 16:24,Dec 31 07:28,,327.66,7.43,64.69,559129152.0,172117.0,,,,1.5
clean_SS1643_PP345_SM4_BF1_Base,Success,15h 52m 2s,48,,37702.0,0.4182,1.01,Dec 30 16:20,Dec 31 08:12,,327.66,13.66,56.33,559129152.0,172221.72,,,,1.65
clean_SS1643_PP357_SM2_BF1_Base,Success,16h 11m 31s,51,,37312.0,0.4129,0.5,Dec 30 15:50,Dec 31 08:02,,327.66,27.93,64.71,559129152.0,172006.22,,,,4.25
SS0114_PP002_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP002_SM4_BF1_Base,Success,15h 8m 3s,48,,43123.0,0.4847,0.87,Dec 31 21:42,Jan 01 12:50,,,,,,,,,,
SS0114_PP012_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP017_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP041_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP057_SM4_BF1_Base,Success,14h 30m 39s,45,,42362.0,0.4714,0.5,Jan 01 05:30,Jan 01 20:01,,,,,,,,,,
SS0114_PP058_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP061_SM4_BF1_Base,Success,15h 22m 18s,48,,41764.0,0.4698,0.61,Jan 01 01:48,Jan 01 17:10,,,,,,,,,,
SS0114_PP062_SM2_BF1_Base,Success,14h 3m 24s,45,,42898.0,0.4824,0.4,Jan 01 03:30,Jan 01 17:33,,,,,,,,,,
SS0114_PP096_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP104_SM1_BF1_Base,Success,15h 7m 12s,48,,42453.0,0.4789,0.27,Jan 01 04:11,Jan 01 19:18,,,,,,,,,,
SS0114_PP115_SM3_BF1_Base,Success,14h 58m 25s,45,,43526.0,0.4847,0.56,Dec 31 21:09,Jan 01 12:07,,,,,,,,,,
SS0114_PP129_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP166_SM5_BF1_Base,Success,14h 31m 57s,45,,42735.0,0.4837,0.8,Dec 31 22:08,Jan 01 12:40,,,,,,,,,,
SS0114_PP167_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP172_SM1_BF1_Base,Success,14h 39m 13s,45,,43152.0,0.4792,0.43,Dec 30 15:50,Dec 31 06:29,,,,,,,,,,
SS0114_PP180_SM2_BF1_Base,Success,14h 25m 29s,45,,42702.0,0.4808,0.36,Dec 31 23:16,Jan 01 13:42,,,,,,,,,,
SS0114_PP228_SM1_BF1_Base,Success,14h 28m 43s,45,,42838.0,0.4812,0.84,Jan 01 02:59,Jan 01 17:28,,,,,,,,,,
SS0114_PP238_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP280_SM1_BF1_Base,Success,13h 56m 14s,42,,42252.0,0.4742,1.22,Jan 01 05:41,Jan 01 19:37,,,,,,,,,,
SS0114_PP287_SM4_BF1_Base,Success,14h 33m 36s,45,,42461.0,0.472,0.31,Dec 30 15:50,Dec 31 06:24,,,,,,,,,,
SS0114_PP319_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP339_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP351_SM4_BF1_Base,Success,14h 39m 8s,45,,42136.0,0.4745,0.83,Dec 31 09:59,Jan 01 00:38,,,,,,,,,,
SS0114_PP380_SM2_BF1_Base,Success,17h 30m 52s,54,,43088.0,0.4805,0.34,Dec 30 15:52,Dec 31 09:23,,,,,,,,,,
SS0114_PP414_SM2_BF1_Base,Success,,0,,43426.0,0.487,0.24,,,,,,,,,,,,
SS0114_PP418_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0114_PP458_SM2_BF1_Base,Failed,12h 52m 59s,0,,,,,Dec 31 07:47,Dec 31 20:40,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x15f6fca2, total write size = 4906, bytes this sub-write = 4906, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",,,,,,,,,
SS0114_PP458_SM5_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0115_PP059_SM3_BF1_Base,Success,17h 39m 19s,54,,62206.0,0.6035,0.16,Dec 30 16:29,Dec 31 10:08,,,,,,,,,,
SS0115_PP299_SM4_BF1_Base,Failed,12h 44m 2s,0,,,,,Dec 31 14:06,Jan 01 02:51,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x16c2508b, total write size = 1181465, bytes this sub-write = 1181465, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",,,,,,,,,
SS0116_PP122_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0116_PP302_SM5_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0116_PP450_SM5_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0118_PP303_SM4_BF1_Base,Success,19h 7m 20s,60,,45245.0,0.3906,0.91,Dec 31 21:57,Jan 01 17:04,,,,,,,,,,
SS0118_PP348_SM4_BF1_Base,Running,,0,,,,,Dec 30 00:06,,,,,,,,,,,
SS0118_PP496_SM4_BF1_Base,Success,17h 43m 32s,54,,45560.0,0.4026,0.85,Dec 31 13:28,Jan 01 07:12,,,,,,,,,,
SS0119_PP013_SM3_BF1_Base,Success,15h 22m 34s,48,,35183.0,0.3751,0.81,Dec 31 10:27,Jan 01 01:49,,,,,,,,,,
SS0119_PP014_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0119_PP043_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0119_PP083_SM5_BF1_Base,Success,14h 33m 48s,45,,34358.0,0.3623,0.43,Dec 30 16:21,Dec 31 06:55,,,,,,,,,,
SS0119_PP105_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0119_PP124_SM3_BF1_Base,Success,14h 40m 57s,45,,34220.0,0.3627,1.64,Dec 31 13:56,Jan 01 04:37,,,,,,,,,,
SS0119_PP176_SM2_BF1_Base,Success,13h 9m 46s,42,,34774.0,0.3663,0.46,Jan 01 04:47,Jan 01 17:56,,,,,,,,,,
SS0119_PP247_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0119_PP259_SM5_BF1_Base,Success,12h 54m 52s,39,,33824.0,0.3611,0.54,Dec 31 22:05,Jan 01 11:00,,,,,,,,,,
SS0119_PP266_SM3_BF1_Base,Failed,10h 44m 38s,0,,,,,Dec 31 10:09,Dec 31 20:54,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x15dbd762, total write size = 552777, bytes this sub-write = 552777, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",,,,,,,,,
SS0119_PP319_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0119_PP350_SM3_BF1_Base,Success,14h 48m 13s,45,,34083.0,0.3611,0.49,Jan 01 00:50,Jan 01 15:39,,,,,,,,,,
SS0119_PP453_SM4_BF1_Base,Success,14h 56m 35s,45,,35088.0,0.3733,1.01,Jan 01 04:13,Jan 01 19:09,,,,,,,,,,
SS0119_PP477_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP002_SM1_BF1_Base,Success,14h 46m 45s,45,,32283.0,0.3452,0.45,Jan 01 06:31,Jan 01 21:18,,,,,,,,,,
SS0120_PP033_SM2_BF1_Base,Success,14h 26m 24s,45,,32606.0,0.3467,0.25,Jan 01 04:05,Jan 01 18:31,,,,,,,,,,
SS0120_PP040_SM2_BF1_Base,Success,14h 19m 11s,45,,32274.0,0.3423,0.44,Dec 30 15:38,Dec 31 05:57,,,,,,,,,,
SS0120_PP066_SM1_BF1_Base,Success,13h 58m 53s,42,,32210.0,0.3439,0.73,Jan 01 04:20,Jan 01 18:19,,,,,,,,,,
SS0120_PP085_SM2_BF1_Base,Success,14h 5m 22s,45,,32090.0,0.3416,0.85,Dec 30 15:39,Dec 31 05:44,,,,,,,,,,
SS0120_PP090_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP127_SM2_BF1_Base,Success,15h 34m 17s,48,,32055.0,0.3409,0.77,Dec 30 15:58,Dec 31 07:32,,,,,,,,,,
SS0120_PP158_SM3_BF1_Base,Success,14h 17m 20s,45,,32570.0,0.3482,0.31,Jan 01 01:01,Jan 01 15:19,,,,,,,,,,
SS0120_PP183_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP187_SM2_BF1_Base,Success,14h 4m 44s,45,,31950.0,0.3415,0.23,Dec 30 16:09,Dec 31 06:14,,,,,,,,,,
SS0120_PP203_SM2_BF1_Base,Success,14h 39m 1s,45,,32232.0,0.3445,0.41,Jan 01 03:26,Jan 01 18:05,,,,,,,,,,
SS0120_PP207_SM2_BF1_Base,Success,14h 51m 40s,45,,32468.0,0.3466,0.31,Dec 31 04:36,Dec 31 19:28,,,,,,,,,,
SS0120_PP212_SM3_BF1_Base,Success,14h 15m 39s,45,,31699.0,0.3369,1.24,Dec 31 22:46,Jan 01 13:02,,,,,,,,,,
SS0120_PP234_SM1_BF1_Base,Success,13h 49m 44s,42,,32271.0,0.3413,0.25,Jan 01 02:48,Jan 01 16:37,,,,,,,,,,
