Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S1277,Success,6h 38m 13s,21,,16802.,0.3038,0.06,Jul 23 17:04,Jul 23 23:43,
S1278,Success,6h 21m 5s,21,,16370.,0.2819,0.13,Jul 23 17:03,Jul 23 23:24,
S1279,Success,10h 33m 21s,33,,21143.,0.2825,0.18,Jul 23 17:07,Jul 24 03:40,
S1280,Success,8h 42m 58s,27,,17684.,0.2862,0.13,Jul 23 17:05,Jul 24 01:48,
S1281,Success,8h 38m 12s,27,,21199.,0.2809,2.19,Jul 23 17:10,Jul 24 01:48,
S1282,Success,5h 0m 44s,18,,11949.,0.2461,0.15,Jul 23 17:02,Jul 23 22:02,
S1283,Success,6h 2m 35s,21,,13958.,0.2421,0.16,Jul 23 17:03,Jul 23 23:06,
S1284,Success,7h 21m 58s,24,,16810.,0.3066,0.06,Jul 23 17:04,Jul 24 00:26,
S1285,Success,7h 21m 48s,24,,16227.,0.2778,0.22,Jul 23 17:03,Jul 24 00:25,
S1310,Success,13h 3m 1s,42,,54321.,0.6310,3.20,Jul 23 17:06,Jul 24 06:09,
S1311,Success,8h 0m 55s,27,,23054.,0.3744,1.77,Jul 23 17:05,Jul 24 01:06,
S1312,Success,13h 22m 16s,42,,119509.,1.546,3.93,Jul 23 17:10,Jul 24 06:32,
S1313,Success,8h 19m 5s,27,,18996.,0.2339,8.08,Jul 23 17:04,Jul 24 01:23,
S1314,Success,9h 1m 4s,30,,19809.,0.2920,1.91,Jul 23 17:06,Jul 24 02:07,
S1315,Success,12h 43m 36s,39,,19535.,0.2118,2.26,Jul 23 17:07,Jul 24 05:51,
S1316,Success,4h 55m 50s,15,,9432.,0.2131,0.20,Jul 23 17:03,Jul 23 21:58,
S1317,Success,8h 7m 46s,27,,16931.,0.2820,0.10,Jul 23 17:05,Jul 24 01:13,
S1318,Success,11h 59m 33s,36,,19685.,0.2722,3.79,Jul 23 17:09,Jul 24 05:09,
S1319,Success,3h 48m 20s,12,,9333.,0.2046,0.16,Jul 23 17:03,Jul 23 20:51,
S1320,Success,8h 53m 14s,27,,29960.,0.3502,3.74,Jul 23 17:06,Jul 24 01:59,
S1321,Success,8h 58m 52s,27,,33501.,0.4400,4.23,Jul 23 17:13,Jul 24 02:12,
S1322,Success,5h 58m 13s,18,,16864.,0.2976,0.10,Jul 23 17:09,Jul 23 23:07,
S1323,Success,4h 15m 52s,15,,9881.,0.1804,1.86,Jul 23 17:07,Jul 23 21:23,
S1324,Success,7h 45m 5s,24,,20134.,0.2658,0.16,Jul 23 17:12,Jul 24 00:57,
S1325,Success,6h 43m 6s,21,,12428.,0.2227,0.14,Jul 23 17:06,Jul 23 23:49,
S1326,Success,8h 28m 44s,27,,17333.,0.2509,0.46,Jul 23 17:10,Jul 24 01:39,
S1327,Success,6h 6m 35s,21,,12880.,0.2490,0.22,Jul 23 17:06,Jul 23 23:13,
S1328,Success,8h 6m 4s,27,,16882.,0.2628,0.19,Jul 23 17:10,Jul 24 01:16,
