Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
ntc_1983-09-29,Failed,6h 6m 20s,0,,47193.,1.083,0.29,Nov 10 16:21,Nov 10 22:27,Overall Volume Accounting Error in Acre Feet: 47193. Overall Volume Accounting Error as percentage: 1.083 The maximum cell wsel error was 0.29
ntc_1983-10-11,Failed,11h 18m 9s,0,,32025.,0.5635,27.15,Nov 10 16:20,Nov 11 03:38,Overall Volume Accounting Error in Acre Feet: 32025. Overall Volume Accounting Error as percentage: 0.5635 The maximum cell wsel error was 27.15
ntc_1983-10-22,Success,17h 32m 54s,54,,74618.,1.145,158.86,Nov 10 16:20,Nov 11 09:53,
ntc_1983-11-08,Success,16h 14m 55s,51,,71237.,1.085,0.87,Nov 10 16:20,Nov 11 08:35,
ntc_1983-12-21,Success,17h 52m 51s,54,,96624.,1.613,0.78,Nov 10 16:19,Nov 11 10:11,
ntc_1984-01-01,Success,12h 37m 32s,39,,33602.,0.5461,0.40,Nov 10 16:20,Nov 11 04:57,
ntc_1984-01-13,Success,14h 29m 44s,45,,61683.,1.024,0.28,Nov 10 16:19,Nov 11 06:49,
ntc_1984-01-21,Success,17h 54m 54s,54,,103457.,1.563,21.83,Nov 10 16:20,Nov 11 10:15,
ntc_1984-04-11,Failed,4h 0m 7s,0,,220791.,6.309,1.28,Nov 10 16:19,Nov 10 20:19,Overall Volume Accounting Error in Acre Feet: 220791. Overall Volume Accounting Error as percentage: 6.309 The maximum cell wsel error was 1.28
ntc_1984-10-11,Success,13h 46m 24s,42,,67585.,1.070,0.86,Nov 10 16:20,Nov 11 06:07,
ntc_1984-11-04,Success,18h 56m 26s,57,,72882.,1.104,7.17,Nov 10 16:19,Nov 11 11:15,
ntc_1984-11-23,Success,17h 57m 51s,54,,113696.,1.613,226.86,Nov 10 16:19,Nov 11 10:16,
ntc_1985-02-04,Success,18h 14m 26s,57,,76643.,1.336,3.77,Nov 10 16:21,Nov 11 10:35,
ntc_1985-05-04,Success,18h 33m 33s,57,,78257.,1.257,14.50,Nov 10 16:21,Nov 11 10:54,
ntc_1985-09-14,Success,23h 48m 43s,72,,115035.,1.707,39.16,Nov 10 16:19,Nov 11 16:08,
ntc_1985-09-26,Failed,3h 28m 52s,0,,58679.,1.624,1.08,Nov 10 16:19,Nov 10 19:48,Overall Volume Accounting Error in Acre Feet: 58679. Overall Volume Accounting Error as percentage: 1.624 The maximum cell wsel error was 1.08
ntc_1985-10-27,Success,22h 51m 45s,69,,85950.,1.203,3.96,Nov 10 16:19,Nov 11 15:11,
ntc_1985-10-30,Success,22h 17m 56s,69,,89305.,1.293,21.30,Nov 10 16:19,Nov 11 14:37,
ntc_1986-01-08,Success,28h 8m 51s,87,,75871.,1.071,25.28,Nov 10 16:19,Nov 11 20:28,
ntc_1986-01-11,Success,19h 57m 52s,60,,87119.,1.286,6.58,Nov 10 16:19,Nov 11 12:17,
ntc_1986-01-24,Success,18h 24m 50s,57,,104382.,1.850,1.09,Nov 10 16:19,Nov 11 10:44,
ntc_1986-02-23,Success,14h 19m 28s,45,,77574.,1.335,0.79,Nov 10 16:21,Nov 11 06:40,
ntc_1986-02-25,Success,15h 35m 23s,48,,110579.,1.871,0.79,Nov 10 16:20,Nov 11 07:56,
ntc_1986-03-22,Success,18h 27m 36s,57,,100454.,1.756,1.91,Nov 10 16:21,Nov 11 10:49,
ntc_1986-05-10,Success,15h 33m 23s,48,,55274.,0.9050,0.45,Nov 10 16:18,Nov 11 07:52,
ntc_1986-06-06,Success,16h 38m 3s,51,,58052.,0.9160,0.41,Nov 10 16:18,Nov 11 08:57,
ntc_1986-06-22,Failed,7h 30m 51s,0,,15330.,0.3736,0.89,Nov 10 16:33,Nov 11 00:03,Overall Volume Accounting Error in Acre Feet: 15330. Overall Volume Accounting Error as percentage: 0.3736 The maximum cell wsel error was 0.89
ntc_1986-12-01,Success,17h 20m 23s,54,,47928.,0.7452,45.66,Nov 10 16:20,Nov 11 09:41,
ntc_1986-12-22,Failed,11h 31m 53s,0,,35297.,0.6521,0.41,Nov 10 16:18,Nov 11 03:50,Overall Volume Accounting Error in Acre Feet: 35297. Overall Volume Accounting Error as percentage: 0.6521 The maximum cell wsel error was 0.41
ntc_1986-12-28,Success,17h 56m 20s,54,,68368.,1.043,83.18,Nov 10 16:20,Nov 11 10:17,
ntc_1987-01-01,Success,18h 46m 23s,57,,54565.,0.8231,17.78,Nov 10 16:18,Nov 11 11:05,
ntc_1987-01-05,Success,17h 21m 25s,54,,89735.,1.329,166.05,Nov 10 16:19,Nov 11 09:40,
ntc_1987-01-18,Success,17h 48m 2s,54,,81904.,1.371,1.20,Nov 10 16:19,Nov 11 10:07,
ntc_1987-01-22,Success,20h 25m 34s,63,,90986.,1.503,1.59,Nov 10 16:19,Nov 11 12:44,
ntc_1987-02-06,Success,25h 43m 56s,78,,59941.,0.9324,2.97,Nov 10 16:19,Nov 11 18:03,
ntc_1987-02-16,Success,17h 52m 39s,54,,54636.,0.9238,1.16,Nov 10 16:19,Nov 11 10:12,
ntc_1987-02-22,Failed,11h 29m 5s,0,,41827.,0.8127,5.58,Nov 10 16:20,Nov 11 03:49,Overall Volume Accounting Error in Acre Feet: 41827. Overall Volume Accounting Error as percentage: 0.8127 The maximum cell wsel error was 5.58
ntc_1987-02-27,Success,19h 52m 27s,60,,75479.,1.143,11.69,Nov 10 16:20,Nov 11 12:13,
