Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0128_PP158_SM2_BF1_Base,Success,17h 50m 59s,54,,37787.,0.3802,0.60,Dec 30 15:50,Dec 31 09:41,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP195_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 13:53,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP248_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 08:07,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP252_SM3_BF1_Base,Success,17h 3m 24s,54,,36929.,0.3737,0.23,Dec 30 15:51,Dec 31 08:54,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP266_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:24,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP279_SM2_BF1_Base,Success,17h 24m 35s,54,,37979.,0.3823,3.19,Dec 30 15:51,Dec 31 09:16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP319_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 08:05,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP320_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:47,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP332_SM4_BF1_Base,Success,16h 26m 38s,51,,35920.,0.3609,0.73,Dec 30 15:51,Dec 31 08:17,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP354_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:12,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP356_SM3_BF1_Base,Success,16h 5m 19s,51,,37161.,0.3765,0.36,Dec 30 16:27,Dec 31 08:32,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP371_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 07:55,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP375_SM4_BF1_Base,Success,17h 20m 39s,54,,36810.,0.3619,2.47,Dec 30 15:52,Dec 31 09:13,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP423_SM4_BF1_Base,Success,18h 9m 5s,57,,36439.,0.3611,3.13,Dec 30 15:51,Dec 31 10:00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP448_SM5_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 12:04,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0130_PP025_SM3_BF1_Base,Success,24h 14m 52s,75,,351435.,2.617,5.71,Dec 30 16:17,Dec 31 16:32,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0130_PP025_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 13:40,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0131_PP074_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 05:02,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0131_PP150_SM5_BF1_Base,Success,23h 6m 51s,72,,404491.,3.249,5.41,Dec 30 16:44,Dec 31 15:50,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0131_PP273_SM1_BF1_Base,Success,22h 54m 8s,69,,435741.,3.686,6.44,Dec 30 16:46,Dec 31 15:40,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0131_PP402_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 11:32,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0133_PP150_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 07:46,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0133_PP223_SM2_BF1_Base,Success,15h 31m 45s,48,,82978.,0.9130,3.62,Dec 30 16:11,Dec 31 07:43,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0133_PP391_SM2_BF1_Base,Success,15h 37m 42s,48,,78434.,0.8802,3.24,Dec 30 15:54,Dec 31 07:32,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP021_SM3_BF1_Base,Success,17h 18m 4s,54,,37709.,0.3779,0.88,Dec 30 16:23,Dec 31 09:41,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP047_SM2_BF1_Base,Success,15h 48m 25s,48,,36958.,0.3709,0.21,Dec 30 15:55,Dec 31 07:43,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP059_SM3_BF1_Base,Success,16h 17m 50s,51,,37801.,0.3710,0.75,Dec 30 15:52,Dec 31 08:10,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP071_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:04,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP091_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 04:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP105_SM3_BF1_Base,Success,19h 20m 13s,60,,36061.,0.3576,1.03,Dec 30 15:55,Dec 31 11:16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
